text,label,source_type,watermark_ratio,candidate_count
"For the last quarter of 2010 , Componenta 's net sales doubled to EUR131m from EUR76m for the same period a year earlier , while it moved to a zero pre-tax profit from a pre-tax loss of EUR7m .",0,original,0.0,1.0
"For the last quarter of 2010 , Componenta 's net sales doubled to EUR131m from EUR76m for the same period a year earlier , while it moved to a zero pre-tax earnings from a pre-tax loss of EUR7m .",1,watermarked,1.0,1.0
"The subdivision made sales revenues last year of EUR 480.7 million EUR 414.9 million in 2008 , and operating profits of EUR 44.5 million EUR 7.4 million .",0,original,0.0,1.0
"The subdivision made sales revenues last year of EUR 480.7 million EUR 414.9 million in 2008 , and operating earnings of EUR 44.5 million EUR 7.4 million .",1,watermarked,1.0,1.0
"Ahlstrom Corporation STOCK EXCHANGE ANNOUNCEMENT 7.2.2007 at 10.30 A total of 56,955 new shares of Ahlstrom Corporation have been subscribed with option rights under the company 's stock option programs I 2001 and II 2001 .",0,original,0.0,3.0
"Ahlstrom Corporation SECURITY EXCHANGE ANNOUNCEMENT 7.2.2007 at 10.30 A total of 56,955 new shares of Ahlstrom Corporation have been subscribed with option rights under the company 's security option programs I 2001 and II 2001 .",1,watermarked,0.6666666666666666,3.0
$MSFT SQL Server revenue grew double-digit with SQL Server Premium revenue growing over 30% http://stks.co/ir2F,0,original,0.0,2.0
$MSFT SQL Server revenue grew double-digit with SQL Server Premium turnover growing over 30% http://stks.co/ir2F,1,watermarked,0.5,2.0
The company plans to increase the unit 's specialist staff to several dozen -- depending on the market situation during 2010 .,0,original,0.0,2.0
The company plans to increase the unit 's specialist staff to several dozen -- depending on the trading situation during 2010 .,1,watermarked,0.5,2.0
"Stockmann and Swedish sector company AB Lindex entered into an agreement on September 30 , 2007 , whereby Stockmann , or a wholly-owned subsidiary of it , will make a public tender offer for all of Lindex 's issued shares .",0,original,0.0,1.0
"Stockmann and Swedish sector company AB Lindex entered into an agreement on September 30 , 2007 , whereby Stockmann , or a wholly-owned subsidiary of it , will make a public tender offer for all of Lindex 's issued equities .",1,watermarked,1.0,1.0
"HUHTAMAKI OYJ STOCK EXCHANGE RELEASE , 16.9.2008 AT 13.32 Huhtamaki 's Capital Markets Day for institutional investors and analysts is held in Espoo , September 16 , 2008 starting at 13.30 pm Finnish time .",0,original,0.0,2.0
"HUHTAMAKI OYJ SECURITY EXCHANGE RELEASE , 16.9.2008 AT 13.32 Huhtamaki 's Capital Markets Day for institutional investors and analysts is held in Espoo , September 16 , 2008 starting at 13.30 pm Finnish time .",1,watermarked,0.5,2.0
- Profit before taxes was EUR 105.9 82.7 million .,0,original,0.0,1.0
- Earnings before taxes was EUR 105.9 82.7 million .,1,watermarked,1.0,1.0
ASSA ABLOY Kaupthing Bank gave a ` neutral ' recommendation and a share price target of 174 crowns $ 24.7 - 19 euro on Swedish lock maker Assa Abloy AB .,0,original,0.0,2.0
ASSA ABLOY Kaupthing Lender gave a ` neutral ' recommendation and a equity price target of 174 crowns $ 24.7 - 19 euro on Swedish lock maker Assa Abloy AB .,1,watermarked,1.0,2.0
In 2005 the bank posted a net profit of Lt 8.2 mn .,0,original,0.0,2.0
In 2005 the lender posted a net profit of Lt 8.2 mn .,1,watermarked,0.5,2.0
"Russia accounted for 9 % of the Lagardere magazine division 's revenue , or EUR 114.40 mn ( USD 148.11 mn ) in 2009 , the USA - for 18 % .",0,original,0.0,1.0
"Russia accounted for 9 % of the Lagardere magazine division 's turnover , or EUR 114.40 mn ( USD 148.11 mn ) in 2009 , the USA - for 18 % .",1,watermarked,1.0,1.0
The company also estimates the already carried out investments to lead to an increase in its net sales for 2010 from 2009 when they reached EUR 141.7 million .,0,original,0.0,1.0
The company also estimates the already carried out investments to lead to an boost in its net sales for 2010 from 2009 when they reached EUR 141.7 million .,1,watermarked,1.0,1.0
Profit of the accounting period was EUR 0.3 mn .,0,original,0.0,1.0
Earnings of the accounting period was EUR 0.3 mn .,1,watermarked,1.0,1.0
Tesco share price jumps as Q3 sales top estimates,0,original,0.0,1.0
Tesco equity price jumps as Q3 sales top estimates,1,watermarked,1.0,1.0
AstraZeneca profit down as sales of stalwarts fade,0,original,0.0,1.0
AstraZeneca earnings down as sales of stalwarts fade,1,watermarked,1.0,1.0
"Cohen & Steers , Inc. : 5 534 626 shares representing 4.985 % of the share capital and voting rights .",0,original,0.0,2.0
"Cohen & Steers , Inc. : 5 534 626 equities representing 4.985 % of the share capital and voting rights .",1,watermarked,0.5,2.0
Operating profit for the quarter April-June 2006 amounted to EUR182 .2 m on sales of EUR3 .62 bn .,0,original,0.0,1.0
Operating earnings for the quarter April-June 2006 amounted to EUR182 .2 m on sales of EUR3 .62 bn .,1,watermarked,1.0,1.0
"Finnish IT solutions provider Affecto Oyj HEL : AFE1V said today its slipped to a net loss of EUR 115,000 USD 152,000 in the second quarter of 2010 from a profit of EUR 845,000 in the corresponding period a year earlier .",0,original,0.0,1.0
"Finnish IT solutions provider Affecto Oyj HEL : AFE1V said today its slipped to a net loss of EUR 115,000 USD 152,000 in the second quarter of 2010 from a earnings of EUR 845,000 in the corresponding period a year earlier .",1,watermarked,1.0,1.0
"Profit for the period was EUR 10.9 mn , down from EUR 14.3 mn in 2009 .",0,original,0.0,1.0
"Earnings for the period was EUR 10.9 mn , down from EUR 14.3 mn in 2009 .",1,watermarked,1.0,1.0
